game_id	identifier	name	description
29	max-revive	UmV2aXZpciBNw6F4aW1v	TWVkaWNpbmEgcXVlIHJldml2ZSBhIHVuIFBva8OpbW9uIGRlYmlsaXRhZG8geSBsZQpkZXZ1ZWx2ZSB0b2RvcyBzdXMgUFMu
30	fresh-water	QWd1YSBGcmVzY2E=	QWd1YSBkZSBhbHRvIGNvbnRlbmlkbyBtaW5lcmFsIHF1ZSByZXN0YXVyYSAzMCBQUwpkZSB1biBQb2vDqW1vbi4=
31	soda-pop	UmVmcmVzY28=	Q2hpc3BlYW50ZSBiZWJpZGEgZ2FzZW9zYSBxdWUgcmVzdGF1cmEgNTAgUFMgZGUKdW4gUG9rw6ltb24u
32	lemonade	TGltb25hZGE=	QmViaWRhIG11eSBkdWxjZSBxdWUgcmVzdGF1cmEgNzAgUFMgZGUgdW4KUG9rw6ltb24u
33	moomoo-milk	TGVjaGUgTXUtbXU=	TGVjaGUgZGUgYWx0byB2YWxvciBudXRyaXRpdm8gcXVlIHJlc3RhdXJhIDEwMCBQUwpkZSB1biBQb2vDqW1vbi4=
34	energy-powder	UG9sdm8gRW5lcmfDrWE=	UG9sdm8gbWVkaWNpbmFsIG11eSBhbWFyZ28gcXVlIHJlc3RhdXJhIDYwIFBTIGRlCnVuIFBva8OpbW9uLg==
35	energy-root	UmHDrXogRW5lcmfDrWE=	UmHDrXogbXV5IGFtYXJnYSBxdWUgcmVzdGF1cmEgMTIwIFBTIGRlIHVuClBva8OpbW9uLg==
36	heal-powder	UG9sdm8gQ3VyYWNpw7Nu	UG9sdm9zIG1lZGljaW5hbGVzIG11eSBhbWFyZ29zIHF1ZSBjdXJhbiB0b2Rvcwpsb3MgcHJvYmxlbWFzIGRlIGVzdGFkbyBkZSB1biBQb2vDqW1vbi4=
37	revival-herb	SGllcmJhIFJldml2aXI=	SGllcmJhIG11eSBhbWFyZ2EgcXVlIHJlYW5pbWEgYSB1biBQb2vDqW1vbgpkZWJpbGl0YWRvIHkgcmVzdGF1cmEgdG9kb3Mgc3VzIFBTLg==
38	ether	w4l0ZXI=	UmVzdGF1cmEgMTAgUFAgZGVsIG1vdmltaWVudG8gZWxlZ2lkbyBkZSB1bgpQb2vDqW1vbi4=
39	max-ether	w4l0ZXIgTcOheGltbw==	UmVzdGF1cmEgY29tcGxldGFtZW50ZSBsb3MgUFAgZGVsIG1vdmltaWVudG8KZWxlZ2lkbyBkZSB1biBQb2vDqW1vbi4=
40	elixir	RWxpeGly	UmVzdGF1cmEgMTAgUFAgZGUgdG9kb3MgbG9zIG1vdmltaWVudG9zCmFwcmVuZGlkb3MgcG9yIGVsIFBva8OpbW9uIGVsZWdpZG8u
41	max-elixir	RWxpeGlyIE3DoXhpbW8=	UmVzdGF1cmEgY29tcGxldGFtZW50ZSBsb3MgUFAgZGUgdG9kb3MgbG9zCm1vdmltaWVudG9zIGFwcmVuZGlkb3MgcG9yIGVsIFBva8OpbW9uIGVsZWdpZG8u
42	lava-cookie	R2FsbGV0YSBMYXZh	RHVsY2UgdMOtcGljbyBkZSBQdWVibG8gTGF2YWNhbGRhIHF1ZSBjdXJhIHRvZG9zCmxvcyBwcm9ibGVtYXMgZGUgZXN0YWRvIGRlIHVuIFBva8OpbW9uLg==
43	berry-juice	WnVtbyBkZSBCYXlh	WnVtbyBkZSBiYXlhcyAxMDAlIG5hdHVyYWwgcXVlIHJlc3RhdXJhIDIwIFBTCmRlIHVuIFBva8OpbW9uLg==
44	sacred-ash	Q2VuaXphIFNhZ3JhZGE=	UmVhbmltYSBjb21wbGV0YW1lbnRlIGEgdG9kb3MgbG9zIFBva8OpbW9uCmRlYmlsaXRhZG9zIHkgcmVzdGF1cmEgdG9kb3Mgc3VzIFBTLg==
45	hp-up	TcOhcyBQUw==	TnV0cml0aXZhIGJlYmlkYSBxdWUgcG90ZW5jaWEgbG9zIFBTIGRlIGJhc2UgZGUKdW4gUG9rw6ltb24u
46	protein	UHJvdGXDrW5h	TnV0cml0aXZhIGJlYmlkYSBxdWUgcG90ZW5jaWEgZWwgQXRhcXVlIGRlIGJhc2UKZGUgdW4gUG9rw6ltb24u
47	iron	SGllcnJv	TnV0cml0aXZhIGJlYmlkYSBxdWUgcG90ZW5jaWEgbGEgRGVmZW5zYSBkZSBiYXNlCmRlIHVuIFBva8OpbW9uLg==
48	carbos	Q2FyYnVyYW50ZQ==	TnV0cml0aXZhIGJlYmlkYSBxdWUgcG90ZW5jaWEgbGEgVmVsb2NpZGFkIGRlCmJhc2UgZGUgdW4gUG9rw6ltb24u
49	calcium	Q2FsY2lv	TnV0cml0aXZhIGJlYmlkYSBxdWUgcG90ZW5jaWEgZWwgQXRhcXVlIEVzcGVjaWFsCmRlIGJhc2UgZGUgdW4gUG9rw6ltb24u
50	rare-candy	Q2FyYW1lbG8gUmFybw==	Q2FyYW1lbG8gZW5lcmfDqXRpY28gcXVlIHN1YmUgYSB1biBQb2vDqW1vbiBkZQpuaXZlbC4=
51	pp-up	TcOhcyBQUA==	QXVtZW50YSBsaWdlcmFtZW50ZSBsb3MgUFAgbcOheGltb3MgZGVsCm1vdmltaWVudG8gZWxlZ2lkbyBkZSB1biBQb2vDqW1vbi4=
52	zinc	WmluYw==	TnV0cml0aXZhIGJlYmlkYSBxdWUgYXVtZW50YSBsYSBEZWZlbnNhIEVzcGVjaWFsCmRlIGJhc2UgZGUgdW4gUG9rw6ltb24u
53	pp-max	UFAgTcOheGltb3M=	QXVtZW50YSBoYXN0YSBlbCBsw61taXRlIGxvcyBQUCBtw6F4aW1vcyBkZWwKbW92aW1pZW50byBlbGVnaWRvIGRlIHVuIFBva8OpbW9uLg==
54	old-gateau	QmFycml0YSBQbHVz	RXNwZWNpYWxpZGFkIGRlIGxhIFZpZWphIE1hbnNpw7NuLiBDdXJhIHRvZG9zIGxvcwpwcm9ibGVtYXMgZGUgZXN0YWRvIGRlIHVuIFBva8OpbW9uLg==
55	guard-spec	UHJvdGVjY2nDs24gWA==	RXZpdGEgcXVlIGJhamVuIGxhcyBjYXJhY3RlcsOtc3RpY2FzIGRlbCBlcXVpcG8KUG9rw6ltb24gZHVyYW50ZSBjaW5jbyB0dXJub3Mu
56	dire-hit	Q3LDrXRpY28gWA==	QXVtZW50YSBlbCDDrW5kaWNlIGRlIGdvbHBlIGNyw610aWNvIGVuIGNvbWJhdGUuClNvbG8gc2UgcHVlZGUgdXNhciB1bmEgdmV6IHksIGFsIGNhbWJpYXIgZGUKUG9rw6ltb24sIGVsIGVmZWN0byBkZXNhcGFyZWNlLg==
57	x-attack	QXRhcXVlIFg=	QXVtZW50YSBtdWNobyBlbCBBdGFxdWUgZW4gY29tYmF0ZS4gQWwgY2FtYmlhcgpkZSBQb2vDqW1vbiwgZWwgZWZlY3RvIGRlc2FwYXJlY2Uu
58	x-defense	RGVmZW5zYSBY	QXVtZW50YSBtdWNobyBsYSBEZWZlbnNhIGVuIGNvbWJhdGUuIEFsIGNhbWJpYXIKZGUgUG9rw6ltb24sIGVsIGVmZWN0byBkZXNhcGFyZWNlLg==
59	x-speed	VmVsb2NpZGFkIFg=	QXVtZW50YSBtdWNobyBsYSBWZWxvY2lkYWQgZW4gY29tYmF0ZS4gQWwKY2FtYmlhciBkZSBQb2vDqW1vbiwgZWwgZWZlY3RvIGRlc2FwYXJlY2Uu
60	x-accuracy	UHJlY2lzacOzbiBY	QXVtZW50YSBtdWNobyBsYSBQcmVjaXNpw7NuIGVuIGNvbWJhdGUuIEFsIGNhbWJpYXIKZGUgUG9rw6ltb24sIGVsIGVmZWN0byBkZXNhcGFyZWNlLg==
61	x-sp-atk	QXQuIEVzcGVjaWFsIFg=	QXVtZW50YSBtdWNobyBlbCBBdGFxdWUgRXNwZWNpYWwgZW4gY29tYmF0ZS4gQWwKY2FtYmlhciBkZSBQb2vDqW1vbiwgZWwgZWZlY3RvIGRlc2FwYXJlY2Uu
62	x-sp-def	RGVmLiBFc3BlY2lhbCBY	QXVtZW50YSBtdWNobyBsYSBEZWZlbnNhIEVzcGVjaWFsIGVuIGNvbWJhdGUuIEFsCmNhbWJpYXIgZGUgUG9rw6ltb24sIGVsIGVmZWN0byBkZXNhcGFyZWNlLg==
63	poke-doll	UG9rw6kgTXXDsWVjbw==	VW4gbXXDsWVjbyBxdWUgYXRyYWUgYSBsb3MgUG9rw6ltb24uIEVzIMO6dGlsIHBhcmEKaHVpciBkZSB1biBjb21iYXRlIGNvbnRyYSB1biBQb2vDqW1vbiBzYWx2YWplLg==
64	fluffy-tail	Q29sYSBTa2l0dHk=	VW4gb2JqZXRvIHF1ZSBhdHJhZSBhIGxvcyBQb2vDqW1vbi4gRXMgw7p0aWwgcGFyYQpodWlyIGRlIHVuIGNvbWJhdGUgY29udHJhIHVuIFBva8OpbW9uIHNhbHZhamUu
65	blue-flute	RmxhdXRhIEF6dWw=	VW5hIGZsYXV0YSBkZSBjcmlzdGFsIGF6dWwgY3V5YXMgbm90YXMgZGVzcGllcnRhbiBhCnVuIFBva8OpbW9uIGRlbCBzdWXDsW8u
66	yellow-flute	RmxhdXRhIEFtYXJpbGxh	VW5hIGZsYXV0YSBkZSBjcmlzdGFsIGFtYXJpbGxvIGN1eWFzIG5vdGFzIHNhY2FuIGEKdW4gUG9rw6ltb24gZGUgbGEgY29uZnVzacOzbi4=
67	red-flute	RmxhdXRhIFJvamE=	VW5hIGZsYXV0YSBkZSBjcmlzdGFsIHJvam8gY3V5YXMgbm90YXMgdnVlbHZlbiBlbgpzw60gYSB1biBQb2vDqW1vbiBlbmFtb3JhZG8u
68	black-flute	RmxhdXRhIE5lZ3Jh	VW5hIGZsYXV0YSBkZSBjcmlzdGFsIG5lZ3JvIGN1eWFzIG5vdGFzIGF0cmFlbiBhClBva8OpbW9uIHNhbHZhamVzIG3DoXMgZnVlcnRlcyBhbCBsdWdhciBlbiBlbCBxdWUKc2UgdXNhLg==
69	white-flute	RmxhdXRhIEJsYW5jYQ==	VW5hIGZsYXV0YSBkZSBjcmlzdGFsIGJsYW5jbyBjdXlhcyBub3RhcyBhdHJhZW4gYQpQb2vDqW1vbiBzYWx2YWplcyBtw6FzIGTDqWJpbGVzIGFsIGx1Z2FyIGVuIGVsIHF1ZQpzZSB1c2Eu
70	shoal-salt	U2FsIENhcmR1bWVu	VW5hIHNhbCBtdXkgZmluYSBxdWUgc2UgZW5jdWVudHJhIGVuIGxhIEN1ZXZhCkNhcmR1bWVuLg==
71	shoal-shell	Q29uY2hhIENhcmR1bWVu	Q29uY2hhIHF1ZSBzZSBlbmN1ZW50cmEgZW4gbGEgQ3VldmEgQ2FyZHVtZW4u
72	red-shard	UGFydGUgUm9qYQ==	VW4gcGVxdWXDsW8gZnJhZ21lbnRvIHJvam8uIFBhcmVjZSBmb3JtYXIgcGFydGUKZGUgYWxnw7puIHRpcG8gZGUgaGVycmFtaWVudGEgYW50aWd1YS4=
73	blue-shard	UGFydGUgQXp1bA==	VW4gcGVxdWXDsW8gZnJhZ21lbnRvIGF6dWwuIFBhcmVjZSBmb3JtYXIgcGFydGUKZGUgYWxnw7puIHRpcG8gZGUgaGVycmFtaWVudGEgYW50aWd1YS4=
74	yellow-shard	UGFydGUgQW1hcmlsbGE=	VW4gcGVxdWXDsW8gZnJhZ21lbnRvIGFtYXJpbGxvLiBQYXJlY2UgZm9ybWFyCnBhcnRlIGRlIGFsZ8O6biB0aXBvIGRlIGhlcnJhbWllbnRhIGFudGlndWEu
75	green-shard	UGFydGUgVmVyZGU=	VW4gcGVxdWXDsW8gZnJhZ21lbnRvIHZlcmRlLiBQYXJlY2UgZm9ybWFyIHBhcnRlCmRlIGFsZ8O6biB0aXBvIGRlIGhlcnJhbWllbnRhIGFudGlndWEu
76	super-repel	U3VwZXJyZXBlbGVudGU=	RXZpdGEgZW5jdWVudHJvcyBjb24gUG9rw6ltb24gc2FsdmFqZXMgZMOpYmlsZXMKZHVyYW50ZSBtw6FzIHRpZW1wbyBxdWUgdW4gUmVwZWxlbnRlIG5vcm1hbC4=
77	max-repel	UmVwZWxlbnRlIE3DoXhpbW8=	RXZpdGEgZW5jdWVudHJvcyBjb24gUG9rw6ltb24gc2FsdmFqZXMgZMOpYmlsZXMKZHVyYW50ZSBtw6FzIHRpZW1wbyBxdWUgdW4gU3VwZXJyZXBlbGVudGUu
78	escape-rope	Q3VlcmRhIEh1aWRh	Q3VlcmRhIGxhcmdhIHkgcmVzaXN0ZW50ZSBxdWUgc2lydmUgcGFyYSBodWlyIGRlCmN1ZXZhcyB5IHNpdGlvcyBjZXJyYWRvcyBlbiBnZW5lcmFsLg==
79	repel	UmVwZWxlbnRl	RXZpdGEgZW5jdWVudHJvcyBjb24gUG9rw6ltb24gc2FsdmFqZXMgZMOpYmlsZXMKZHVyYW50ZSB1biBjb3J0byBwZXLDrW9kbyBkZSB0aWVtcG8u
80	sun-stone	UGllZHJhIFNvbGFy	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uCkVzIHJvamEgY29tbyBlbCBuw7pjbGVvIGRlbCBzb2wu
81	moon-stone	UGllZHJhIEx1bmFy	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uCkVzIG9zY3VyYSBjb21vIGxhIG5vY2hlLg==
82	fire-stone	UGllZHJhIEZ1ZWdv	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uCkVzIGFtYXJpbGxhIGNvbiB1bmEgbWFyY2EgbmFyYW5qYS4=
83	thunder-stone	UGllZHJhIFRydWVubw==	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uClRpZW5lIGdyYWJhZG8gdW4gcmF5by4=
84	water-stone	UGllZHJhIEFndWE=	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uCkVzIGRlIGNvbG9yIGF6dWwu
85	leaf-stone	UGllZHJhIEhvamE=	Q3VyaW9zYSBwaWVkcmEgcXVlIGhhY2UgZXZvbHVjaW9uYXIgYQpkZXRlcm1pbmFkYXMgZXNwZWNpZXMgZGUgUG9rw6ltb24uClRpZW5lIGdyYWJhZGEgdW5hIGhvamEu
86	tiny-mushroom	TWluaXNldGE=	VW5hIHBlcXVlw7FhIHNldGEgcXVlIGVzIHBvY28gY29tw7puIHkgYmFzdGFudGUKcG9wdWxhciBlbnRyZSBkZXRlcm1pbmFkb3MgZ3J1cG9zIGRlIGdvdXJtZXRzLg==
87	big-mushroom	U2V0YSBHcmFuZGU=	VW5hIGdyYW4gc2V0YSBxdWUgZXMgcG9jbyBjb23Dum4geSBtdXkgcG9wdWxhcgplbnRyZSBkZXRlcm1pbmFkb3MgZ3J1cG9zIGRlIGdvdXJtZXRzLg==
88	pearl	UGVybGE=	QnJpbGxhbnRlIHBlcmxhIHBlcXVlw7FhIHkgcGxhdGVhZGEgcXVlIG5vIGFsY2FuemEKdW4gYnVlbiBwcmVjaW8gZW4gbGFzIHRpZW5kYXMu
89	big-pearl	UGVybGEgR3JhbmRl	QnJpbGxhbnRlIHBlcmxhIHBsYXRlYWRhIGRlIGdyYW4gdGFtYcOxbyBxdWUgcHVlZGUKdmVuZGVyc2UgYSBidWVuIHByZWNpbyBlbiBsYXMgdGllbmRhcy4=
90	stardust	UG9sdm8gRXN0ZWxhcg==	Qm9uaXRhIGFyZW5hIHJvamEgZGUgdGFjdG8gc2Vkb3NvIHF1ZSBubyBhbGNhbnphCnVuIGJ1ZW4gcHJlY2lvIGVuIGxhcyB0aWVuZGFzLg==
91	star-piece	VHJvem8gRXN0cmVsbGE=	RnJhZ21lbnRvIGRlIHVuYSBib25pdGEgZ2VtYSByb2phIHF1ZSBwdWVkZQp2ZW5kZXJzZSBtdXkgY2FybyBlbiBsYXMgdGllbmRhcy4=
92	nugget	UGVwaXRh	UGVwaXRhIGRlIG9ybyBwdXJvIHF1ZSBkZXNwcmVuZGUgdW4gYnJpbGxvCmVzcGVjdGFjdWxhci4gUHVlZGUgdmVuZGVyc2UgYSB1biBwcmVjaW8gbXV5CmFsdG8gZW4gbGFzIHRpZW5kYXMu
93	heart-scale	RXNjYW1hIENvcmF6w7Nu	VW5hIGJlbGxhIHkgcmFyYSBlc2NhbWEgY29uIGZvcm1hIGRlIGNvcmF6w7NuIHF1ZQptw6FzIGRlIHVubyBhcHJlY2lhcsOhIHNpIHNlIGxhIGVudHJlZ2FzLg==
94	honey	TWllbA==	U3UgZGVsaWNpb3NvIGFyb21hIGF0cmFlIGEgUG9rw6ltb24gc2FsdmFqZXMgc2kKc2UgdXNhIGVuIHpvbmFzIGRlIGhpZXJiYSBhbHRhLCBjdWV2YXMgbyDDoXJib2xlcwplc3BlY2lhbGVzLg==
95	growth-mulch	QWJvbm8gUsOhcGlkbw==	VW4gZmVydGlsaXphbnRlIHVzYWRvIHBhcmEgZWwgY3VsdGl2byBkZSBiYXlhcy4KUGFyZWNlIHF1ZSBubyBzZSBhc2llbnRhIGJpZW4gZW4gZWwgc3VlbG8gZGUKSG9lbm4sIHBvciBsbyBxdWUgbm8gdGllbmUgZWZlY3RvIGVuIGVzdGEgcmVnacOzbi4=
96	damp-mulch	QWJvbm8gTGVudG8=	VW4gZmVydGlsaXphbnRlIHVzYWRvIHBhcmEgZWwgY3VsdGl2byBkZSBiYXlhcy4KUGFyZWNlIHF1ZSBubyBzZSBhc2llbnRhIGJpZW4gZW4gZWwgc3VlbG8gZGUKSG9lbm4sIHBvciBsbyBxdWUgbm8gdGllbmUgZWZlY3RvIGVuIGVzdGEgcmVnacOzbi4=
97	stable-mulch	QWJvbm8gRmlqYWRvcg==	VW4gZmVydGlsaXphbnRlIHVzYWRvIHBhcmEgZWwgY3VsdGl2byBkZSBiYXlhcy4KUGFyZWNlIHF1ZSBubyBzZSBhc2llbnRhIGJpZW4gZW4gZWwgc3VlbG8gZGUKSG9lbm4sIHBvciBsbyBxdWUgbm8gdGllbmUgZWZlY3RvIGVuIGVzdGEgcmVnacOzbi4=
98	gooey-mulch	QWJvbm8gQnJvdGU=	VW4gZmVydGlsaXphbnRlIHVzYWRvIHBhcmEgZWwgY3VsdGl2byBkZSBiYXlhcy4KUGFyZWNlIHF1ZSBubyBzZSBhc2llbnRhIGJpZW4gZW4gZWwgc3VlbG8gZGUKSG9lbm4sIHBvciBsbyBxdWUgbm8gdGllbmUgZWZlY3RvIGVuIGVzdGEgcmVnacOzbi4=
99	root-fossil	RsOzc2lsIFJhw616	RsOzc2lsIGRlIHVuIFBva8OpbW9uIHByZWhpc3TDs3JpY28gcXVlIHZpdsOtYSBlbiBlbApmb25kbyBkZWwgbWFyLiBQYXJlY2Ugc2VyIHBhcnRlIGRlIHVuYSByYcOtei4=
100	claw-fossil	RsOzc2lsIEdhcnJh	RsOzc2lsIGRlIHVuIFBva8OpbW9uIHByZWhpc3TDs3JpY28gcXVlIHZpdsOtYSBlbiBlbApmb25kbyBkZWwgbWFyLiBQYXJlY2Ugc2VyIHBhcnRlIGRlIHVuYSBnYXJyYS4=
101	helix-fossil	RsOzc2lsIEjDqWxpeA==	RsOzc2lsIGRlIHVuIFBva8OpbW9uIHByZWhpc3TDs3JpY28gcXVlIHZpdsOtYSBlbiBlbApmb25kbyBkZWwgbWFyLiBQYXJlY2Ugc2VyIHVuIGZyYWdtZW50byBkZSBjb25jaGEKbWFyaW5hLg==
102	dome-fossil	RsOzc2lsIERvbW8=	RsOzc2lsIGRlIHVuIFBva8OpbW9uIHByZWhpc3TDs3JpY28gcXVlIHZpdsOtYSBlbiBlbApmb25kbyBkZWwgbWFyLiBQYXJlY2Ugc2VyIHVuIGZyYWdtZW50byBkZQpjYXBhcmF6w7NuLg==
